"drug","effect","mg_kg_d"
"abiraterone","hypokalemia",12.5
"abiraterone","fluid retention/edema",12.5
"abiraterone","urinary tract infection",12.5
"adefovir","serum creatinine increase",0.375
"adefovir","hypophosphatemia",0.375
"adefovir","diarrhea",0.375
"adefovir","anorexia",0.375
"adefovir","pharyngitis",0.375
"adefovir","headache",0.375
"adefovir","abdominal pain",0.375
"afatinib","diarrhea",0.625
"afatinib","stomatitis",0.625
"afatinib","rash",0.625
"afatinib","dermatitis acneiform",0.625
"afatinib","nail effects",0.625
"afatinib","decreased appetite",0.625
"afatinib","fatigue",0.625
"afatinib","nausea",0.625
"afatinib","vomiting",0.625
"afatinib","epistaxis",0.625
"afatinib","pruritis",0.625
"afatinib","dry skin",0.625
"afatinib","cough",0.625
"afatinib","ocular effects",0.625
"afatinib","palmar plantar erythrodysaethesia syndrome",0.625
"afatinib","haemoglobin abnormality",0.625
"afatinib","potassium abnormality",0.625
"alfuzosin","dizziness",0.1875
"aliskiren","diarrhea",3.75
"aliskiren","blood pressure decrease",3.75
"alogliptin","no effects meet criteria",NA
"alosetron","constipation",0.0261096605744125
"alosetron","gi discomfort",0.0261096605744125
"alvimopan","no effects meet criteria",NA
"ambrisentan","peripheral edema",0.0625
"ambrisentan","nasal congestion",0.0625
"ambrisentan","hemoglobin decrease",0.0625
"amiloride","hyperkalemia",0.258732212160414
"amiloride","blood pressure decrease",0.258732212160414
"amoxapine","no effects meet criteria",7.5
"apremilast","diarrhea",0.5
"apremilast","gastrointestinal disorders",0.5
"apremilast","nervous system disorders",0.5
"aripiprazole","headache",0.375
"aripiprazole","vomiting",0.375
"aripiprazole","heart rate increase",0.375
"aripiprazole","weight increase",0.375
"aripiprazole","somnolence",0.375
"aripiprazole","headache",0.375
"aripiprazole","vomiting",0.375
"aripiprazole","prolactin increase",0.375
"aripiprazole","glucose increase",0.375
"aripiprazole","heart rate increase",0.375
"aripiprazole","weight increase",0.375
"aripiprazole","somnolence",0.375
"aripiprazole","constipation",0.375
"aripiprazole","akathisia",0.375
"aspirin","musculoskeletal pain",12.5
"aspirin","chest pain",12.5
"aspirin","fatigue",12.5
"aspirin","dyspepsia/heartburn",12.5
"aspirin","ulcer or gastritis",12.5
"aspirin","stomach pain",12.5
"astemizole","no effects meet criteria",NA
"atorvastatin","ALT increase",0.125
"avanafil","headache",0.775193798449612
"azacitidine","neutropenia",3.75
"azacitidine","nausea",3.75
"azacitidine","vomiting",3.75
"azacitidine","diarrhea",3.75
"azacitidine","fatigue",3.75
"azacitidine","constipation",3.75
"azacitidine","pneumonia",3.75
"azacitidine","abdominal pain",3.75
"azacitidine","decreased appetite",3.75
"azacitidine","pain in extremity",3.75
"azacitidine","leukopenia",3.75
"azacitidine","anemia",3.75
"azacitidine","thrombocytopenia",3.75
"azilsartan","creatinine increase",0.445732114998886
"azilsartan","potassium increase",0.445732114998886
"azilsartan","uric acid increase",0.445732114998886
"balsalazide","anemia",84.375
"balsalazide","diarrhea",84.375
"balsalazide","pharyngolaryngeal pain",84.375
"balsalazide","uti",84.375
"balsalazide","arthralgia",84.375
"balsalazide","insomnia",84.375
"balsalazide","pain",84.375
"balsalazide","abdominal pain",84.375
"balsalazide","colitis ulcerative",84.375
"balsalazide","nausea",84.375
"balsalazide","vomiting",84.375
"balsalazide","diarrhea",84.375
"balsalazide","flatulence",84.375
"balsalazide","abdominal distension",84.375
"balsalazide","fatigue",84.375
"balsalazide","pyrexia",84.375
"balsalazide","nasopharyngitis",84.375
"balsalazide","urinary tract infection",84.375
"balsalazide","influenza",84.375
"balsalazide","upper respiratory tract infection",84.375
"balsalazide","sinusitis",84.375
"balsalazide","back pain",84.375
"balsalazide","arthralgia",84.375
"balsalazide","muscle spasms",84.375
"balsalazide","pain in extremity",84.375
"balsalazide","headache",84.375
"balsalazide","insomnia",84.375
"balsalazide","pharyngolaryngeal pain",84.375
"balsalazide","cough",84.375
"balsalazide","rash",84.375
"baricitinib","hypercholesterolemia",0.0280112044817927
"baricitinib","infection",0.0280112044817927
"baricitinib","thrombocytosis",0.0280112044817927
"baricitinib","low neutrophils",0.0280112044817927
"baricitinib","hemoglobin decrease",0.0280112044817927
"baricitinib","increased creatine phosphokinase",0.0280112044817927
"berotralstat","nasopharyngitis",1.375
"berotralstat","headache",1.375
"berotralstat","diarrhoea",1.375
"berotralstat","abdominal pain",1.375
"berotralstat","upper respiratory tract infection",1.375
"berotralstat","vomiting",1.375
"berotralstat","urinary tract infection",1.375
"berotralstat","gastroesophageal reflux disease",1.375
