"drug","casrn.x","dtxsid","dtxcid","preferredName","hasStructureImage","smiles","isMarkush","searchName","searchValue","rank","isDuplicate","QSAR_Ready_SMILES","Canonical_SMILES","surr.pod.gen","surr.pod.repdev","pod.gen","lb.gen","ub.gen","cum_freq.gen","pod.repdev","lb.repdev","ub.repdev","cum_freq.repdev","casrn.y","Name","pod.min","pod.min.lb"
"abiraterone acetate","154229-18-2","DTXSID3049043","DTXCID4028969","Abiraterone acetate",1,"CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4C4=CN=CC=C4)[C@@H]3CC=C2C1",FALSE,"Synonym","ABIRATERONE ACETATE",15,FALSE,"CC(=O)OC1CC2=CCC3C4CC=C(C5C=CC=NC=5)C4(C)CCC3C2(C)CC1","CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1",NA,NA,2.751245711,0.200723229,37.7103985,0.112873276,17.57765676,1.946555066,158.7286292,0.404302957,"154229-18-2","Abiraterone acetate",2.751245711,0.200723229
"adefovir dipivoxil","142340-99-6","DTXSID5046487","DTXCID3026487","Adefovir dipivoxil",1,"CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C",FALSE,"Approved Name","ADEFOVIR DIPIVOXIL",9,FALSE,"CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2C(N)=NC=NC1=2)OCOC(=O)C(C)(C)C","CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C",NA,NA,11.73983532,0.856505708,160.9139694,0.620284657,34.70471087,3.843210257,313.3882552,0.601195529,"142340-99-6","Adefovir dipivoxil",11.73983532,0.856505708
"afatinib dimaleate","850140-73-7","DTXSID701027713","DTXCID001513290","Afatinib dimaleate",1,"[H]\C(=C(/[H])C(O)=O)C(O)=O.[H]\C(=C(/[H])C(O)=O)C(O)=O.CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1",FALSE,"Approved Name","AFATINIB DIMALEATE",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alfuzosin hydrochloride","81403-68-1","DTXSID3045514","DTXCID1025514","Alfuzosin hydrochloride",1,"Cl.COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1",FALSE,"Approved Name","ALFUZOSIN HYDROCHLORIDE",9,FALSE,"COC1=CC2C(N)=NC(=NC=2C=C1OC)N(C)CCCNC(=O)C1CCCO1","COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl",NA,NA,11.48636005,0.838012858,157.4396692,0.613783053,27.1436007,3.005890612,245.1104028,0.529345583,"81403-68-1","Alfuzosin hydrochloride",11.48636005,0.838012858
"aliskiren hemifumarate","173334-58-2","DTXSID601026205","DTXCID601510456","Aliskiren fumarate",1,"[O-]C(=O)\C=C\C([O-])=O.COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H]([NH3+])[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1.COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H]([NH3+])[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1",FALSE,"Expert Validated Synonym","ALISKIREN HEMIFUMARATE",10,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alogliptin benzoate","850649-62-6","DTXSID20582095","DTXCID90532860","Benzoic acid--2-({6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl}methyl)benzonitrile (1/1)",1,"OC(=O)C1=CC=CC=C1.CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=CC=CC=C2C#N)C1=O",FALSE,"Synonym","ALOGLIPTIN BENZOATE",15,FALSE,"CN1C(=O)C=C(N(CC2=CC=CC=C2C#N)C1=O)N1CC(N)CCC1","Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1",NA,NA,2.347396021,0.17125948,32.17496679,0.082904166,4.985493023,0.552095016,45.01967947,0.054267985,"850649-62-6","Benzoic acid--2-({6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl}methyl)benzonitrile (1/1)",2.347396021,0.17125948
"alosetron hydrochloride","122852-69-1","DTXSID8044208","DTXCID6024208","Alosetron hydrochloride",1,"Cl.CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)N=CN1)CC2",FALSE,"Approved Name","ALOSETRON HYDROCHLORIDE",9,FALSE,"CN1C2=CC=CC=C2C2=C1CCN(CC1NC=NC=1C)C2=O","Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O.Cl",NA,NA,5.830637419,0.425387077,79.91858368,0.376519302,11.09961451,1.229174693,100.2310273,0.227684339,"122852-69-1","Alosetron hydrochloride",5.830637419,0.425387077
"alvimopan","156053-89-3","DTXSID60166035","DTXCID7088526","Alvimopan",1,"C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1",FALSE,"Approved Name","ALVIMOPAN",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ambrisentan","177036-94-1","DTXSID4046282","DTXCID2026282","Ambrisentan",1,"COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1",FALSE,"Approved Name","AMBRISENTAN",9,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amiloride hydrochloride","2016-88-8","DTXSID2024452","DTXCID504452","Amiloride hydrochloride",1,"Cl.NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N",FALSE,"Integrated Source Name","AMILORIDE HYDROCHLORIDE",16,FALSE,"NC1N=C(N)C(=NC=1Cl)C(=O)NC(N)=N","Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N",NA,NA,20.32212246,1.48264549,278.5484893,0.767723219,27.15298771,3.006930133,245.1951689,0.52944017,"2016-88-8","Amiloride hydrochloride",20.32212246,1.48264549
"amoxapine","14028-44-5","DTXSID7022598","DTXCID102598","Amoxapine",1,"ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1",FALSE,"Integrated Source Name","AMOXAPINE",16,FALSE,"ClC1C=C2C(=NC3C=CC=CC=3OC2=CC=1)N1CCNCC1","Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2",NA,NA,4.58530305,0.334530948,62.84920484,0.276791115,7.406707057,0.820220996,66.88357122,0.100143872,"14028-44-5","Amoxapine",4.58530305,0.334530948
"apremilast","608141-41-9","DTXSID30976289","DTXCID101478388","Apremilast",1,"CCOC1=C(OC)C=CC(=C1)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O",FALSE,"Approved Name","APREMILAST",9,FALSE,"CC(=O)CC1C=CC=C2C=1C(=O)N(C(CS(C)(=O)=O)C1=CC(OCC)=C(C=C1)OC)C2=O","CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC",NA,NA,18.9980654,1.386045972,260.4000849,0.751808974,36.02928295,3.989893773,325.3493211,0.612654233,"608141-41-9","Apremilast",18.9980654,1.386045972
"aripiprazole","129722-12-9","DTXSID3046083","DTXCID1026083","Aripiprazole",1,"ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl",FALSE,"Integrated Source Name","ARIPIPRAZOLE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aspirin","50-78-2","DTXSID5020108","DTXCID50108","Aspirin",1,"CC(=O)OC1=C(C=CC=C1)C(O)=O",FALSE,"Integrated Source Name","ASPIRIN",16,FALSE,"CC(=O)OC1C=CC=CC=1C(O)=O","CC(=O)Oc1ccccc1C(=O)O",22.3969495358361,35.3392231966296,NA,NA,NA,0.789812473411316,NA,NA,NA,0.606700338536776,"50-78-2","Aspirin",NA,NA
"astemizole","68844-77-9","DTXSID9020110","DTXCID30110","Astemizole",1,"COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1",FALSE,"Integrated Source Name","ASTEMIZOLE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atorvastatin calcium","134523-03-8","DTXSID6044303","DTXCID4024303","Atorvastatin calcium",1,"[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1",FALSE,"Integrated Source Name","ATORVASTATIN CALCIUM",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avanafil","330784-47-9","DTXSID50186727","DTXCID90109218","Avanafil",1,"COC1=C(Cl)C=C(CNC2=NC(=NC=C2C(=O)NCC2=NC=CC=N2)N2CCC[C@H]2CO)C=C1",FALSE,"Integrated Source Name","AVANAFIL",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"azacitidine","320-67-2","DTXSID9020116","DTXCID10116","5-Azacytidine",1,"NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O",FALSE,"Integrated Source Name","AZACITIDINE",16,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"azilsartan kamedoxomil","863031-24-7","DTXSID70235483","DTXCID70157974","Azilsartan kamedoxomil",1,"[K+].CCOC1=NC2=CC=CC(C(=O)OCC3=C(C)OC(=O)O3)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)[N-]1",FALSE,"Approved Name","AZILSARTAN KAMEDOXOMIL",9,FALSE,"CC1OC(=O)OC=1COC(=O)C1C=CC=C2N=C(OCC)N(CC3C=CC(=CC=3)C3=CC=CC=C3C3NC(=O)ON=3)C=12","CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[n-]2)cc1.[K+]",NA,NA,76.5955519,5.58819827,1049.869437,0.967664973,231.5737143,25.64454369,2091.142109,0.994436797,"863031-24-7","Azilsartan kamedoxomil",76.5955519,5.58819827
"baricitinib","1187594-09-7","DTXSID30152228","DTXCID5074719","Baricitinib",1,"CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1",FALSE,"Synonym","BARICITINIB",15,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
