Molecule ChEMBL ID,Parent Molecule ChEMBL ID,Parent Molecule Name,Warning Type,Warning Class,Description,Country/Year,EFO ID,EFO Term,EFO ID for Warning Class,References
CHEMBL1533310,CHEMBL90,HISTAMINE,Black Box Warning,metabolic toxicity,None,United States: None,None,None,EFO:0011054,Type: DailyMed RefID: 5c20f3f4-65f8-4cdb-bdd1-5774da1c551b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c20f3f4-65f8-4cdb-bdd1-5774da1c551b|Type: DailyMed RefID: 5c20f3f4-65f8-4cdb-bdd1-5774da1c551b URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5c20f3f4-65f8-4cdb-bdd1-5774da1c551b
CHEMBL3989820,CHEMBL911,ZOLPIDEM,Black Box Warning,None,None,United States: None,None,None,None,Type: DailyMed RefID: ab83d3d5-9ee2-4234-e053-2995a90a1966 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab83d3d5-9ee2-4234-e053-2995a90a1966|Type: DailyMed RefID: c0543e05-3220-4a8a-abd9-6a73c42848c2 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0543e05-3220-4a8a-abd9-6a73c42848c2
CHEMBL4303288,CHEMBL1380,ABACAVIR,Black Box Warning,hepatotoxicity,None,United States: None,None,None,EFO:0011052,Type: DailyMed RefID: de109a2b-e36c-40d0-85fc-a67a9e7f1ae8 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de109a2b-e36c-40d0-85fc-a67a9e7f1ae8|Type: DailyMed RefID: 73ce0bc5-43e2-c57f-0a6a-bdaf9fbaa3c2 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=73ce0bc5-43e2-c57f-0a6a-bdaf9fbaa3c2|Type: DailyMed RefID: e5cbf204-c10d-444b-aba0-180a30645d55 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e5cbf204-c10d-444b-aba0-180a30645d55|Type: DailyMed RefID: ca73b519-015a-436d-aa3c-af53492825a1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ca73b519-015a-436d-aa3c-af53492825a1|Type: FDA RefID: 633f1ec9-53b1-4a9a-a738-8cae5b763f08 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=633f1ec9-53b1-4a9a-a738-8cae5b763f08|Type: FDA RefID: 816b11bf-e6e9-4438-a777-948090eabe82 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=816b11bf-e6e9-4438-a777-948090eabe82
CHEMBL2364623,CHEMBL1650559,PLAZOMICIN,Black Box Warning,nephrotoxicity,None,United States: None,None,None,EFO:0011056,Type: DailyMed RefID: eccf9fd9-53ac-4252-a106-5567b3a82a70 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eccf9fd9-53ac-4252-a106-5567b3a82a70|Type: DailyMed RefID: 0b82ffed-27f4-4f5c-8135-670c148f0e12 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b82ffed-27f4-4f5c-8135-670c148f0e12|Type: FDA RefID: 1243fcd3-de84-428b-901e-d83d65e4d98c URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1243fcd3-de84-428b-901e-d83d65e4d98c
CHEMBL3039594,CHEMBL3039597,GENTAMICIN,Black Box Warning,None,None,United States: None,None,None,None,
CHEMBL3989677,CHEMBL1457,HYDROCODONE,Black Box Warning,None,None,United States: None,None,None,None,
CHEMBL2364609,CHEMBL395091,ESKETAMINE,Black Box Warning,neurotoxicity,None,United States: None,None,None,EFO:0011057,Type: DailyMed RefID: d81a6a79-a74a-44b7-822c-0dfa3036eaed URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d81a6a79-a74a-44b7-822c-0dfa3036eaed
CHEMBL3301581,CHEMBL3301581,ABALOPARATIDE,Black Box Warning,carcinogenicity,None,United States: None,None,None,EFO:0011046,Type: DailyMed RefID: 712143d9-e21e-4013-bb3b-3426a21060a8 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=712143d9-e21e-4013-bb3b-3426a21060a8
CHEMBL2359966,CHEMBL170,QUININE,Black Box Warning,None,None,United States: None,None,None,None,
CHEMBL864,CHEMBL864,CARBINOXAMINE,Withdrawn,None,High incidence of adverse drug reactions (ADRs) at therapeutic levels,Iraq: 2008,EFO:0009658,adverse effect,None,Type: WHO RefID: WHO-EMP-QSM-2010.3 URL: https://www.who.int/publications/i/item/WHO-EMP-QSM-2010.3
CHEMBL4297534,CHEMBL2043437,GLASDEGIB,Black Box Warning,teratogenicity,None,United States: None,None,None,EFO:0009880,Type: DailyMed RefID: 204a6f7e-c9a4-472b-abd2-9527bda64d17 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=204a6f7e-c9a4-472b-abd2-9527bda64d17
CHEMBL203321,CHEMBL203321,BRINCIDOFOVIR,Black Box Warning,None,None,United States: None,None,None,None,Type: FDA RefID: 12569e7c-9c2a-4b8b-94e2-f05607b4a866 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=12569e7c-9c2a-4b8b-94e2-f05607b4a866
CHEMBL1201587,CHEMBL1201587,ALEMTUZUMAB,Black Box Warning,immune system toxicity,None,United States: None,None,None,EFO:0011053,Type: DailyMed RefID: 6236b0bc-82e9-4447-9a78-f57d94770269 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6236b0bc-82e9-4447-9a78-f57d94770269
CHEMBL112,CHEMBL112,ACETAMINOPHEN,Black Box Warning,misuse,None,United States: None,None,None,EFO:0011049,Type: DailyMed RefID: c5177abd-9465-40d8-861d-3904496d82b7 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5177abd-9465-40d8-861d-3904496d82b7|Type: FDA RefID: 6d763554-913d-4bed-9efd-b9c9b936a2f4 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d763554-913d-4bed-9efd-b9c9b936a2f4|Type: FDA RefID: 0f67c1bd-915b-4681-88dd-22f5154a80b3 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f67c1bd-915b-4681-88dd-22f5154a80b3|Type: FDA RefID: b466c989-f7aa-e476-e053-2a95a90a8e55 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b466c989-f7aa-e476-e053-2a95a90a8e55
CHEMBL2107841,CHEMBL2107841,ALBIGLUTIDE,Black Box Warning,carcinogenicity,None,United States: None,None,None,EFO:0011046,Type: DailyMed RefID: 5fcad939-76e7-49cf-af94-4e6aef17901f URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5fcad939-76e7-49cf-af94-4e6aef17901f
CHEMBL1200714,CHEMBL1200714,CHLORMEZANONE,Withdrawn,dermatological toxicity,Life-threatening toxic epidermal necrolysis and borderline major bullous forms,"France: 1996,United States: 1996,European Union: 1996,Singapore: 1996,Zimbabwe: 1996,Saudi Arabia: 1996,Germany: 1996,Japan: 1996,Pakistan: 1996,Portugal: 1996,South Africa: 1996,United Arab Emirates: 1996",EFO:0004775,toxic epidermal necrolysis,EFO:0011048,Type: WHO RefID: EDM-QSM-2001.3 URL: https://www.who.int/publications/i/item/EDM-QSM-2001.3|Type: EMA RefID: referral/final-opinion-committee-proprietary-medicinal-products-pursuant-article-12-council-directive-75/319/eec-amended-chlormezanone-annex-c_en.pdf URL: https://www.ema.europa.eu/en/documents/referral/final-opinion-committee-proprietary-medicinal-products-pursuant-article-12-council-directive-75/319/eec-amended-chlormezanone-annex-c_en.pdf|Type: EMA RefID: referral/final-opinion-committee-proprietary-medicinal-products-pursuant-article-12-council-directive-75/319/eec-amended-chlormezanone-annex-c_en.pdf URL: https://www.ema.europa.eu/en/documents/referral/final-opinion-committee-proprietary-medicinal-products-pursuant-article-12-council-directive-75/319/eec-amended-chlormezanone-annex-c_en.pdf
