effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
 alkaline phosphatase increase,NA,hepatic,clinical,1,NA,NA
 cardiovascular events,NA,cardiovascular,clinical,1,NA,NA
 increased creatinine phosphokinase,NA,musculoskeletal,clinical,1,NA,NA
 lipase increase,NA,gastrointestinal,clinical,1,NA,NA
 speech disorder,NA,nervous,clinical,1,NA,NA
% patients discontinuing due to adverse events,NA,no category,clinical,NA,1,NA
% patients reporting serious events,NA,no category,clinical,NA,1,NA
>8 x uln,NA,no category,clinical,NA,NA,NA
abdomen girth increased,NA,gastrointestinal,nonclinical,NA,NA,1
abdomen swellings,NA,gastrointestinal,nonclinical,NA,NA,17
abdominal adhesions,NA,gastrointestinal,nonclinical,NA,NA,2
abdominal discomfort/abdominal pain upper,incidental,gastrointestinal,clinical,NA,NA,NA
abdominal discomfort and pain,incidental,gastrointestinal,clinical,NA,1,NA
abdominal distension,incidental,gastrointestinal,clinical,1,NA,NA
abdominal distention,incidental,gastrointestinal,clinical,NA,1,51
abdominal distention,NA,gastrointestinal,nonclinical,NA,1,51
abdominal liver function test lft,NA,hepatic,clinical,1,NA,NA
abdominal pain,incidental,gastrointestinal,clinical,24,14,NA
abdominal pain (1),incidental,gastrointestinal,clinical,NA,NA,NA
abdominal pain (a),incidental,gastrointestinal,clinical,NA,NA,NA
abdominal pain (c),incidental,gastrointestinal,clinical,NA,NA,NA
abdominal pain †,incidental,gastrointestinal,clinical,NA,1,NA
abdominal pain upper,incidental,gastrointestinal,clinical,4,1,NA
abdominal pain upper (b),incidental,gastrointestinal,clinical,NA,NA,NA
abdominal pain**,incidental,gastrointestinal,clinical,NA,3,NA
abdominal pain/discomfort,incidental,gastrointestinal,clinical,1,1,NA
abdominal pain nos,incidental,gastrointestinal,clinical,NA,2,NA
abdominal pain†,incidental,gastrointestinal,clinical,NA,2,NA
aberrant crypt foci,NA,no category,nonclinical,NA,NA,2
abnormal abdominal wall morphology,NA,gastrointestinal,nonclinical,NA,NA,1
abnormal adrenal cortex morphology,NA,endocrine,nonclinical,NA,NA,2
abnormal adrenal gland morphology,NA,endocrine,nonclinical,NA,NA,26
abnormal adrenal gland weight,NA,endocrine,nonclinical,NA,NA,11
abnormal albumin level,NA,metabolic,nonclinical,NA,NA,7
abnormal alveolar macrophage morphology,NA,hematologic,nonclinical,NA,NA,3
abnormal alveolar macrophage number,NA,hematologic,nonclinical,NA,NA,12
abnormal anus morphology,NA,gastrointestinal,nonclinical,NA,NA,1
abnormal artery morphology,NA,cardiovascular,nonclinical,NA,NA,1
abnormal atrial thrombosis,NA,hematologic,nonclinical,NA,NA,2
abnormal behavior,NA,nervous,nonclinical,NA,NA,13
abnormal behaviour,NA,nervous,clinical,NA,NA,NA
abnormal bile duct epithelium morphology,NA,hepatic,nonclinical,NA,NA,1
abnormal bile duct morphology,NA,hepatic,nonclinical,NA,NA,3
abnormal bile duct physiology,NA,hepatic,nonclinical,NA,NA,1
abnormal bile secretion,NA,hepatic,nonclinical,NA,NA,1
abnormal bleeding,NA,hematologic,nonclinical,NA,NA,3
abnormal blood coagulation,NA,hematologic,nonclinical,NA,NA,4
abnormal blood ion concentration,NA,hematologic,nonclinical,NA,NA,1
abnormal blood vessel morphology,NA,cardiovascular,nonclinical,NA,NA,9
abnormal blood volume,NA,hematologic,nonclinical,NA,NA,1
abnormal body weight,NA,metabolic,nonclinical,NA,NA,11
abnormal bone marrow cell morphology/development,NA,musculoskeletal,nonclinical,NA,NA,9
abnormal bone marrow cell number,NA,hematologic,nonclinical,NA,NA,10
abnormal bone marrow hematopoietic cell morphology,NA,hematologic,nonclinical,NA,NA,1
abnormal bone marrow morphology,NA,musculoskeletal,nonclinical,NA,NA,9
abnormal brain morphology,NA,nervous,nonclinical,NA,NA,3
abnormal brain ventricle morphology,NA,nervous,nonclinical,NA,NA,2
abnormal brain weight,NA,nervous,nonclinical,NA,NA,1
abnormal breathing pattern,NA,respiratory,nonclinical,NA,NA,46
abnormal brown fat cell morphology,NA,metabolic,nonclinical,NA,NA,2
abnormal cardiovascular system morphology,NA,cardiovascular,nonclinical,NA,NA,8
abnormal cartilage morphology,NA,musculoskeletal,nonclinical,NA,NA,6
abnormal cecum morphology,NA,gastrointestinal,nonclinical,NA,NA,8
abnormal cervical lymph node morphology,NA,reproductive,nonclinical,NA,NA,7
abnormal choriocapillaris morphology,NA,ocular,nonclinical,NA,NA,1
abnormal circulating alkaline phosphatase level,NA,hepatic,nonclinical,NA,NA,6
abnormal circulating amylase level,NA,metabolic,nonclinical,NA,NA,2
abnormal circulating bilirubin level,NA,hepatic,nonclinical,NA,NA,4
abnormal circulating chloride level,NA,metabolic,nonclinical,NA,NA,3
